PID,X,Y,Z
53,242091.29425,8195955.054565,3430.0
54,242091.3019,8195958.443772,3426.0
55,242091.324064,8195959.851172,3424.036447
56,242091.324473,8195959.877197,3424.0
57,242091.324821,8195959.899295,3423.968981
58,242091.325078,8195959.915588,3423.946088
59,242091.330536,8195907.773007,3450.0
60,242091.338695,8195960.780261,3422.797973
61,242091.34375,8195959.883789,3424.0
62,242091.34821,8195961.384487,3422.0
63,242091.3845,8195963.688911,3421.401796
64,242091.396937,8195964.478638,3421.201372
65,242091.401898,8195964.793672,3421.118144
66,242091.41663,8195965.729129,3420.860398
67,242091.433138,8195966.777418,3420.571267
68,242091.442688,8195955.114502,3430.0
69,242091.4469,8195967.651289,3420.335299
70,242091.459167,8195938.937378,3442.0
71,242091.46201,8195968.61078,3420.069192
72,242091.465945,8195968.860659,3420.0
73,242091.467341,8195968.949318,3419.847444
74,242091.471526,8195969.21505,3419.402821
75,242091.483887,8195945.036255,3436.0
76,242091.484564,8195970.04297,3418.0
77,242091.490786,8195970.438032,3417.336619
78,242091.503203,8195971.226529,3416.0
79,242091.509562,8195971.630306,3415.314024
80,242091.521883,8195972.412736,3414.0
81,242091.533386,8195968.882202,3420.0
82,242091.533784,8195973.168391,3412.491341
83,242091.537789,8195973.422712,3412.0
84,242091.547244,8195974.023127,3410.738111
85,242091.550919,8195974.256493,3410.0
86,242091.558105,8195941.796875,3440.0
87,242091.58668,8195976.527286,3408.614272
88,242091.595534,8195977.089553,3408.313936
89,242091.607343,8195977.839392,3408.0
90,242091.609027,8195977.946373,3408.0
91,242091.612655,8195978.176713,3408.0
92,242091.615413,8195978.351856,3408.0
93,242091.632162,8195979.415431,3408.0
94,242091.639084,8195979.854974,3408.0
95,242091.640564,8195946.256104,3434.0
96,242091.64996,8195980.545605,3408.0
97,242091.660173,8195981.194126,3408.0
98,242091.664322,8195981.457562,3408.0
99,242091.665498,8195981.532259,3408.0
100,242091.66658,8195981.600986,3407.91101
101,242091.666773,8195981.613248,3407.895399
102,242091.668537,8195981.72524,3407.751365
103,242091.683864,8195982.698492,3406.495195
104,242091.689906,8195983.082164,3406.0
105,242091.690063,8195981.540039,3408.0
106,242091.70173,8195983.832996,3405.029419
107,242091.704067,8195983.981374,3404.843262
108,242091.714467,8195984.641762,3404.0
109,242091.717049,8195907.767974,3450.644379
110,242091.720652,8195985.03455,3403.490856
111,242091.722476,8195985.15035,3403.336127
112,242091.737914,8195986.130676,3402.0
113,242091.738824,8195986.188453,3401.890675
114,242091.74201,8195986.390747,3401.492786
115,242091.746599,8195986.682183,3400.778601
116,242091.747803,8195977.970581,3408.0
117,242091.74845,8195986.799684,3400.557746
118,242091.748769,8195986.819989,3400.52938
119,242091.752103,8195987.031684,3400.0
120,242091.757248,8195987.35837,3399.177669
121,242091.764282,8195984.659546,3404.0
122,242091.764661,8195987.829127,3398.0
123,242091.787321,8195989.268027,3397.69296
124,242091.789171,8195989.385526,3397.668048
125,242091.790586,8195989.475324,3397.648828
126,242091.794865,8195989.74704,3397.591823
127,242091.797241,8195955.244507,3430.0
128,242091.813782,8195968.982178,3420.0
129,242091.813782,8195983.119751,3406.0
130,242091.822021,8195939.977173,3442.0
131,242091.839891,8195992.606219,3397.036188
132,242091.840817,8195992.665033,3397.022902
133,242091.849742,8195993.231775,3396.890188
134,242091.85498,8195984.679443,3404.0
135,242091.857539,8195993.726841,3396.775044
136,242091.877029,8195994.964505,3396.581395
137,242091.890079,8195995.793137,3396.370355
138,242091.900406,8195996.448915,3396.230656
139,242091.90516,8195996.750768,3396.187753
140,242091.911039,8195997.124124,3396.090411
141,242091.916588,8195997.476452,3396.0
142,242091.91822,8195997.580119,3395.906574
143,242091.920959,8195978.300537,3408.0
144,242091.922164,8195997.830577,3395.687034
145,242091.924853,8195998.001318,3395.543293
146,242091.929199,8195984.709473,3404.0
147,242091.932202,8195998.467951,3395.168785
148,242091.937996,8195998.835913,3394.850204
149,242091.942222,8195999.10421,3394.62116
150,242091.945335,8195999.301905,3394.449207
151,242091.951015,8195999.662561,3394.137819
152,242091.951989,8195999.724409,3394.093002
153,242091.954002,8195999.852256,3394.0
154,242091.961382,8196000.320869,3393.658257
155,242091.962064,8196000.364209,3393.626312
156,242091.962525,8196000.393466,3393.605601
157,242091.963469,8196000.453409,3393.557497
158,242091.9643,8196000.506166,3393.520251
159,242091.969129,8196000.812816,3393.308538
160,242091.969865,8196000.859553,3393.280616
161,242091.972438,8196001.022939,3393.165681
162,242091.973915,8196001.116754,3393.12482
163,242091.976572,8196001.285475,3393.002492
164,242091.978699,8195997.527344,3396.0
165,242091.979254,8196001.455779,3392.908913
166,242091.98287,8196001.685398,3392.815649
167,242092.003418,8195986.279175,3402.0
168,242092.007641,8196003.258334,3392.0
169,242092.01097,8196003.469764,3391.949751
170,242092.014632,8196003.702249,3391.911708
171,242092.017309,8196003.872256,3391.885476
172,242092.017903,8196003.909992,3391.877666
173,242092.019897,8195986.279175,3402.0
174,242092.036377,8195986.289185,3402.0
175,242092.037074,8196005.127345,3391.636565
176,242092.044678,8195958.69397,3426.0
177,242092.044678,8195986.289185,3402.0
178,242092.110596,8195986.329224,3402.0
179,242092.111626,8196009.861365,3390.748833
180,242092.113066,8196009.952831,3390.733866
181,242092.127136,8195986.359253,3402.0
182,242092.130219,8196011.042075,3390.584751
183,242092.132613,8196011.194098,3390.55808
184,242092.143233,8196011.868463,3390.441387
185,242092.143616,8195937.297607,3444.0
186,242092.143616,8195958.743896,3426.0
187,242092.143616,8195986.37915,3402.0
188,242092.145689,8196012.024399,3390.412527
189,242092.14625,8196012.060001,3390.405315
190,242092.146532,8196012.077924,3390.401684
191,242092.151855,8195986.39917,3402.0
192,242092.151855,8195997.677246,3396.0
193,242092.151855,8196003.516235,3392.0
194,242092.157077,8196012.747529,3390.0
195,242092.168335,8195986.419189,3402.0
196,242092.172543,8196013.729591,3388.24988
197,242092.174741,8196013.869195,3388.0
198,242092.175951,8196013.946054,3387.863493
199,242092.176466,8196013.978764,3387.849769
200,242092.176575,8195986.439209,3402.0
201,242092.193908,8196015.086304,3387.370758
202,242092.201355,8195986.469238,3402.0
203,242092.201355,8195997.707275,3396.0
204,242092.209595,8195986.489136,3402.0
205,242092.217834,8195986.489136,3402.0
206,242092.217834,8196000.15686,3394.0
207,242092.219126,8196016.68762,3386.929372
208,242092.226074,8196003.686279,3392.0
209,242092.233779,8196017.618079,3386.673538
210,242092.234314,8195957.094238,3428.0
211,242092.242554,8195945.756104,3436.0
212,242092.242956,8196018.200874,3386.425308
213,242092.248763,8196018.569623,3386.264595
214,242092.256076,8196019.033981,3386.0
215,242092.259033,8195909.752319,3450.0
216,242092.259033,8195987.309082,3400.0
217,242092.259033,8196000.196777,3394.0
218,242092.267273,8196003.796265,3392.0
219,242092.275574,8195937.287598,3444.0
220,242092.275574,8196013.934448,3388.0
221,242092.283813,8195937.647583,3444.0
222,242092.292053,8195937.657593,3444.0
223,242092.292053,8195997.807251,3396.0
224,242092.311236,8196022.536645,3386.0
225,242092.312764,8196022.633663,3386.0
226,242092.325012,8195970.331909,3418.0
227,242092.32811,8196023.608114,3386.0
228,242092.341354,8196024.449113,3386.0
229,242092.34812,8196024.878755,3386.0
230,242092.349731,8196003.996216,3392.0
231,242092.349731,8196004.006226,3392.0
232,242092.353465,8196025.218197,3386.0
233,242092.358032,8195948.575684,3432.0
234,242092.358032,8195974.331299,3410.0
235,242092.373524,8196026.491934,3386.0
236,242092.374512,8195955.444458,3430.0
237,242092.374512,8195960.353638,3424.0
238,242092.374512,8195973.701416,3412.0
239,242092.374512,8196004.056152,3392.0
240,242092.407471,8195957.164185,3428.0
241,242092.432251,8195910.162231,3450.0
242,242092.433101,8196030.275031,3386.0
243,242092.436749,8196030.506696,3386.0
244,242092.45487,8196031.657373,3386.0
245,242092.459046,8196031.922586,3386.0
246,242092.46521,8196000.456787,3394.0
247,242092.469441,8196032.582662,3386.0
248,242092.470816,8196032.669962,3386.0
249,242092.480706,8196033.297952,3386.0
250,242092.489929,8195988.228882,3398.0
251,242092.498169,8195985.039429,3404.0
252,242092.500109,8196034.530065,3386.0
253,242092.531189,8195947.47583,3434.0
254,242092.543197,8195907.757217,3452.0
255,242092.556692,8196038.12308,3386.0
256,242092.585694,8196039.964705,3386.0
257,242092.601648,8196040.977798,3386.0
258,242092.605408,8195961.963379,3422.0
259,242092.605408,8195981.460083,3408.0
260,242092.605408,8196000.626709,3394.0
261,242092.624112,8196042.404277,3386.0
262,242092.626137,8196042.532855,3386.0
263,242092.629572,8196042.750988,3386.0
264,242092.630127,8195985.259399,3404.0
265,242092.630127,8195998.077148,3396.0
266,242092.654846,8195937.217651,3444.0
267,242092.667833,8196045.180569,3386.0
268,242092.696106,8195946.376099,3436.0
269,242092.704346,8195957.294189,3428.0
270,242092.7174,8196048.328044,3385.313295
271,242092.720825,8195948.90564,3432.0
272,242092.720825,8195987.529053,3400.0
273,242092.724617,8196048.786358,3385.296764
274,242092.737305,8195955.584473,3430.0
275,242092.737305,8195985.419312,3404.0
276,242092.753845,8195985.459351,3404.0
277,242092.760658,8196051.074936,3385.235916
278,242092.762085,8196015.344238,3388.0
279,242092.779969,8195907.754134,3452.391426
280,242092.786804,8196000.82666,3394.0
281,242092.787605,8196052.786054,3385.178187
282,242092.801043,8196053.639402,3385.146497
283,242092.811488,8196054.302607,3385.115045
284,242092.816677,8196054.632142,3385.10258
285,242092.819824,8195945.226196,3438.0
286,242092.832863,8196055.65995,3385.070197
287,242092.844543,8195939.227295,3444.0
288,242092.844543,8195971.681763,3416.0
289,242092.844543,8195985.599365,3404.0
290,242092.852609,8196056.913827,3385.048534
291,242092.852783,8195945.256226,3438.0
292,242092.866446,8196057.792495,3385.009025
293,242092.869263,8195945.276245,3438.0
294,242092.877502,8195983.739624,3406.0
295,242092.886069,8196059.038553,3384.933941
296,242092.90879,8196060.481303,3384.848927
297,242092.918762,8195908.55249,3452.0
298,242092.941965,8196062.587914,3384.687796
299,242092.943481,8195985.749268,3404.0
300,242092.959961,8195973.751343,3412.0
301,242092.959961,8196001.106689,3394.0
302,242092.961598,8196063.834634,3384.618698
303,242092.966361,8196064.137075,3384.60737
304,242092.974412,8196064.648304,3384.592336
305,242092.977922,8196064.871199,3384.587403
306,242092.992989,8196065.827968,3384.582217
307,242093.0177,8195908.722534,3452.0
308,242093.02594,8195998.387085,3396.0
309,242093.03418,8195985.889282,3404.0
310,242093.042419,8195957.444092,3428.0
311,242093.065739,8196070.447591,3384.0
312,242093.068491,8196070.62235,3384.0
313,242093.07234,8196070.866752,3384.0
314,242093.093666,8196072.220916,3384.0
315,242093.099965,8196072.620934,3384.0
316,242093.116638,8195908.882446,3452.0
317,242093.133179,8195957.484131,3428.0
318,242093.141418,8195984.159546,3406.0
319,242093.149658,8195928.519165,3444.0
320,242093.174377,8196001.596558,3394.0
321,242093.190857,8195969.4021,3420.0
322,242093.190857,8196017.153931,3388.0
323,242093.214598,8196079.900133,3384.0
324,242093.223877,8195986.189209,3404.0
325,242093.240976,8195907.748131,3453.149264
326,242093.254846,8196082.455905,3384.0
327,242093.256836,8196005.895874,3392.0
328,242093.263271,8196082.990873,3384.0
329,242093.265076,8195982.439819,3408.0
330,242093.272984,8196083.607657,3384.0
331,242093.273315,8195970.621948,3418.0
332,242093.275368,8196083.759025,3383.914231
333,242093.276045,8196083.802001,3383.903357
334,242093.276567,8196083.835161,3383.894076
335,242093.277182,8196083.874182,3383.882827
336,242093.284818,8196084.359106,3383.728717
337,242093.298096,8196006.015869,3392.0
338,242093.314575,8195986.299194,3404.0
339,242093.331055,8195984.469482,3406.0
340,242093.347534,8195942.146729,3442.0
341,242093.347534,8196006.125854,3392.0
342,242093.353467,8196088.718298,3382.0
343,242093.353798,8196088.739313,3382.0
344,242093.355774,8195971.841675,3416.0
345,242093.355774,8195973.041504,3414.0
346,242093.360067,8196089.137385,3382.0
347,242093.364075,8195955.87439,3430.0
348,242093.364075,8195981.680054,3408.0
349,242093.372314,8195984.539551,3406.0
350,242093.37335,8196089.980886,3381.312053
351,242093.385251,8196090.736597,3380.984209
352,242093.388794,8195986.359253,3404.0
353,242093.393036,8196091.230909,3380.700305
354,242093.412492,8196092.466379,3380.0
355,242093.428654,8196093.492683,3379.639215
356,242093.429993,8195973.061523,3414.0
357,242093.438293,8195909.622314,3452.0
358,242093.454773,8195957.594116,3428.0
359,242093.463013,8195974.001343,3412.0
360,242093.471252,8195973.071533,3414.0
361,242093.479492,8195974.881226,3410.0
362,242093.479492,8195988.71875,3398.0
363,242093.487732,8195909.7323,3452.0
364,242093.495972,8195912.481812,3450.0
365,242093.495972,8196006.495728,3392.0
366,242093.502017,8196098.151245,3378.0
367,242093.508914,8195907.744643,3453.539044
368,242093.528992,8195984.789429,3406.0
369,242093.537231,8196006.585693,3392.0
370,242093.537231,8196006.605713,3392.0
371,242093.545471,8195973.091431,3414.0
372,242093.550466,8196101.227772,3376.91715
373,242093.553711,8195973.091431,3414.0
374,242093.561951,8195973.091431,3414.0
375,242093.57019,8196006.695679,3392.0
376,242093.58667,8195971.901733,3416.0
377,242093.58667,8195973.10144,3414.0
378,242093.591555,8196103.836908,3376.0
379,242093.594971,8195973.10144,3414.0
380,242093.60321,8195999.057007,3396.0
381,242093.62793,8195916.02124,3448.0
382,242093.63531,8196106.615361,3375.022586
383,242093.636169,8195944.376343,3440.0
384,242093.644409,8195983.059814,3408.0
385,242093.660889,8195999.126953,3396.0
386,242093.678563,8196109.361899,3374.0
387,242093.685669,8196002.50647,3394.0
388,242093.704965,8196111.038453,3373.377603
389,242093.710388,8195970.731934,3418.0
390,242093.718628,8195985.089478,3406.0
391,242093.743347,8196013.764526,3390.0
392,242093.763389,8196114.748369,3372.0
393,242093.792847,8195974.181274,3412.0
394,242093.825806,8195969.562134,3420.0
395,242093.832704,8195907.740427,3454.0
396,242093.834106,8196008.155518,3392.0
397,242093.837701,8196119.467158,3370.26463
398,242093.842346,8195962.43335,3422.0
399,242093.850182,8196120.259691,3370.0
400,242093.858826,8196002.906372,3394.0
401,242093.858891,8196120.812751,3370.0
402,242093.861079,8196120.951652,3370.0
403,242093.867184,8196121.339323,3369.874254
404,242093.868214,8196121.404748,3369.854029
405,242093.883545,8195907.822632,3454.0
406,242093.883545,8195985.349365,3406.0
407,242093.916565,8196008.365479,3392.0
408,242093.924805,8195983.509644,3408.0
409,242093.924805,8195988.588867,3402.0
410,242093.933044,8195981.839966,3408.0
411,242093.944663,8195907.738969,3454.159388
412,242093.949524,8196008.465454,3392.0
413,242093.949524,8196008.475464,3392.0
414,242093.949954,8196126.595215,3368.0
415,242093.957764,8195944.646362,3440.0
416,242093.957764,8196003.16626,3394.0
417,242093.957764,8196008.505371,3392.0
418,242093.961592,8196127.334232,3367.761948
419,242093.966003,8195910.87207,3452.0
420,242093.966003,8196019.133545,3388.0
421,242093.966003,8196071.064697,3384.0
422,242093.982544,8195983.609619,3408.0
423,242094.015503,8195999.546997,3396.0
424,242094.047731,8196132.804077,3366.0
425,242094.065002,8196022.73291,3386.0
426,242094.081482,8195956.184326,3430.0
427,242094.081482,8195972.021606,3416.0
428,242094.109838,8196136.747905,3364.767347
429,242094.122681,8195948.925659,3434.0
430,242094.13092,8195972.041626,3416.0
431,242094.148501,8196139.203003,3364.0
432,242094.155701,8196003.63623,3394.0
433,242094.155701,8196003.64624,3394.0
434,242094.16394,8195972.051636,3416.0
435,242094.205139,8195975.291138,3410.0
436,242094.205139,8196003.776245,3394.0
437,242094.205139,8196023.042969,3386.0
438,242094.213379,8195983.989624,3408.0
439,242094.233707,8196144.613555,3362.575937
440,242094.246399,8195944.886353,3440.0
441,242094.246399,8195985.909302,3406.0
442,242094.246399,8195999.836914,3396.0
443,242094.265531,8196146.634412,3362.0
444,242094.271118,8195956.264404,3430.0
445,242094.289055,8196148.128126,3361.57206
446,242094.361816,8195972.121582,3416.0
447,242094.375428,8196153.612859,3360.0
448,242094.403076,8195972.131592,3416.0
449,242094.403076,8195989.758667,3398.0
450,242094.411316,8195986.119263,3406.0
451,242094.427795,8195943.486572,3442.0
452,242094.454325,8196158.622774,3358.924864
453,242094.484435,8196160.534807,3358.514668
454,242094.485535,8195984.429565,3408.0
455,242094.525418,8196163.137191,3358.0
456,242094.526196,8196163.186612,3358.0
457,242094.543274,8195909.332397,3454.0
458,242094.543274,8196000.17688,3396.0
459,242094.551514,8195981.72998,3408.0
460,242094.551514,8195986.229248,3406.0
461,242094.559753,8196016.164063,3390.0
462,242094.591667,8196167.344003,3356.908948
463,242094.625732,8195970.961792,3418.0
464,242094.625732,8196016.454102,3390.0
465,242094.628494,8196169.68255,3356.295244
466,242094.632831,8196169.957941,3356.213273
467,242094.649804,8196171.035696,3356.0
468,242094.650452,8195909.572388,3454.0
469,242094.650452,8196004.706055,3394.0
470,242094.66518,8196172.012094,3355.790292
471,242094.666931,8196119.996338,3370.0
472,242094.668335,8196172.212444,3355.747338
473,242094.675171,8196010.575073,3392.0
474,242094.690008,8196173.588695,3355.404213
475,242094.693959,8196173.839567,3355.400222
476,242094.708191,8195970.991821,3418.0
477,242094.74115,8195984.809448,3408.0
478,242094.76593,8196004.985962,3394.0
479,242094.767522,8196178.510837,3354.544156
480,242094.77417,8195971.011841,3418.0
481,242094.790982,8196180.0005,3354.217063
482,242094.804477,8196180.857441,3354.057399
483,242094.809592,8196181.182254,3354.0
484,242094.815369,8195921.880249,3446.0
485,242094.815369,8195981.660034,3408.0
486,242094.821417,8196181.933147,3353.864614
487,242094.831848,8196000.626709,3396.0
488,242094.853317,8196183.958781,3353.501839
489,242094.864868,8196005.225952,3394.0
490,242094.872669,8196185.187676,3353.230511
491,242094.896356,8196186.691752,3352.973006
492,242094.904281,8196187.195009,3352.902012
493,242094.911091,8196187.62746,3352.847498
494,242094.914368,8196011.214966,3392.0
495,242094.947327,8195956.504272,3430.0
496,242094.951529,8196190.195242,3352.0
497,242094.95167,8196190.204224,3352.0
498,242094.953112,8196190.295812,3352.0
499,242094.954469,8196190.381951,3352.0
500,242094.955566,8196011.294922,3392.0
501,242094.955566,8196024.852661,3386.0
502,242094.958492,8196190.637406,3351.898629
503,242094.959937,8196190.729161,3351.883956
504,242094.963806,8196092.001099,3380.0
505,242094.980286,8195950.155396,3432.0
506,242095.000609,8196193.31187,3351.223572
507,242095.013306,8196011.424927,3392.0
508,242095.019763,8196194.528148,3351.086051
509,242095.045398,8196196.155918,3350.738931
510,242095.050468,8196196.47789,3350.693331
511,242095.054504,8196190.204224,3352.0
512,242095.06876,8195907.724332,3456.0
513,242095.077661,8196198.204655,3350.561952
514,242095.079574,8196198.326142,3350.540881
515,242095.087524,8195944.036499,3442.0
516,242095.087524,8196021.453247,3388.0
517,242095.087524,8196089.591553,3382.0
518,242095.099681,8196199.602913,3350.388826
519,242095.112244,8195979.590332,3408.0
520,242095.112244,8196181.395752,3354.0
521,242095.112244,8196190.304321,3352.0
522,242095.128723,8195971.131836,3418.0
523,242095.136963,8195942.486694,3444.0
524,242095.146816,8196202.595981,3350.0
525,242095.161743,8195969.901978,3420.0
526,242095.169983,8196190.404297,3352.0
527,242095.17711,8196204.519631,3349.676397
528,242095.186462,8196001.446655,3396.0
529,242095.190056,8196205.341701,3349.521433
530,242095.199336,8196205.931003,3349.397071
531,242095.211182,8195932.918335,3444.0
532,242095.211182,8196001.496582,3396.0
533,242095.219421,8195971.161743,3418.0
534,242095.219421,8196171.607422,3356.0
535,242095.22618,8196207.635584,3349.024341
536,242095.227722,8195942.59668,3444.0
537,242095.227722,8196006.115845,3394.0
538,242095.23014,8196207.887064,3348.969354
539,242095.252441,8196146.801758,3362.0
540,242095.253222,8196209.352769,3348.720056
541,242095.268921,8195985.619385,3408.0
542,242095.2854,8195916.471191,3450.0
543,242095.2854,8195961.473511,3424.0
544,242095.2854,8195969.942017,3420.0
545,242095.289713,8196211.669951,3348.326545
546,242095.29364,8195916.481201,3450.0
547,242095.310181,8196006.325806,3394.0
548,242095.31842,8195990.488525,3400.0
549,242095.31842,8196006.355835,3394.0
550,242095.321476,8196213.686914,3348.0
551,242095.332785,8196214.405007,3347.871971
552,242095.3349,8196025.612427,3386.0
553,242095.338554,8196214.771354,3347.771497
554,242095.34314,8195916.641113,3450.0
555,242095.345286,8196215.198849,3347.655574
556,242095.384399,8195969.972046,3420.0
557,242095.393709,8196218.273715,3346.821786
558,242095.400879,8195975.591064,3410.0
559,242095.400879,8196006.595703,3394.0
560,242095.409119,8195919.940552,3448.0
561,242095.412545,8196219.469753,3346.531819
562,242095.417358,8196012.884644,3392.0
563,242095.423969,8196220.195199,3346.355281
564,242095.439678,8196221.192742,3346.193433
565,242095.440909,8196221.270865,3346.172669
566,242095.442669,8196221.382632,3346.148142
567,242095.452641,8196222.015905,3346.0
568,242095.466858,8195979.480347,3408.0
569,242095.466858,8196012.994629,3392.0
570,242095.483337,8196002.116455,3396.0
571,242095.516296,8195948.955566,3436.0
572,242095.516296,8195985.929321,3408.0
573,242095.516296,8196013.104614,3392.0
574,242095.527327,8196226.758434,3344.649745
575,242095.532776,8196007.335571,3394.0
576,242095.532776,8196013.144653,3392.0
577,242095.546664,8196227.986369,3344.216531
578,242095.549012,8196228.135457,3344.163933
579,242095.556256,8196228.595421,3344.0
580,242095.56569,8196229.194496,3343.756294
581,242095.598755,8195923.589966,3446.0
582,242095.615295,8196013.304565,3392.0
583,242095.623535,8196022.623047,3388.0
584,242095.631775,8195911.901978,3454.0
585,242095.63377,8196233.517574,3342.0
586,242095.640015,8195949.775513,3434.0
587,242095.648254,8195909.04248,3456.0
588,242095.648254,8196002.526489,3396.0
589,242095.664734,8196013.404541,3392.0
590,242095.672974,8195944.526367,3442.0
591,242095.672974,8195981.440063,3408.0
592,242095.68649,8196236.865291,3340.639287
593,242095.689514,8195980.020264,3408.0
594,242095.689514,8196013.4646,3392.0
595,242095.696632,8196237.509306,3340.389188
596,242095.698221,8196237.610206,3340.356595
597,242095.705994,8196214.200195,3348.0
598,242095.712468,8196238.514925,3340.0
599,242095.714233,8196007.825562,3394.0
600,242095.722473,8195986.099243,3408.0
601,242095.722473,8196089.371582,3382.0
602,242095.74395,8196240.513978,3339.405427
603,242095.771973,8196008.005493,3394.0
604,242095.788452,8196008.035522,3394.0
605,242095.796692,8196008.06543,3394.0
606,242095.813171,8195909.402344,3456.0
607,242095.814357,8196244.984859,3338.39409
608,242095.821411,8196008.135498,3394.0
609,242095.834533,8196246.266042,3338.0
610,242095.854431,8195991.858276,3398.0
611,242095.901902,8196250.543962,3336.684282
612,242095.90387,8195970.151978,3420.0
613,242095.90387,8195986.319214,3408.0
614,242095.93689,8196019.793457,3390.0
615,242095.936938,8196252.768761,3336.0
616,242095.953369,8196003.276245,3396.0
617,242095.961609,8196003.296265,3396.0
618,242095.9668,8196254.664973,3335.417646
619,242096.002869,8195936.797729,3444.0
620,242096.011108,8195915.411377,3452.0
621,242096.027588,8195970.192017,3420.0
622,242096.035828,8196003.496216,3396.0
623,242096.035828,8196023.612793,3388.0
624,242096.03716,8196259.132834,3334.0
625,242096.044067,8196003.516235,3396.0
626,242096.047767,8196259.806359,3333.786159
627,242096.068787,8195915.591309,3452.0
628,242096.077087,8195988.108887,3406.0
629,242096.101807,8195925.789551,3446.0
630,242096.101807,8195986.489136,3408.0
631,242096.101807,8195991.618286,3400.0
632,242096.101807,8196108.798218,3374.0
633,242096.118286,8196020.173462,3390.0
634,242096.136322,8196265.429596,3332.0
635,242096.156086,8196266.684621,3331.601343
636,242096.159546,8196028.991943,3386.0
637,242096.192505,8196009.205322,3394.0
638,242096.192505,8196182.175659,3354.0
639,242096.192505,8196252.74353,3336.0
640,242096.208984,8195988.208862,3406.0
641,242096.217224,8195943.426514,3444.0
642,242096.225464,8196003.956177,3396.0
643,242096.233765,8195991.208374,3402.0
644,242096.233765,8196097.3302,3378.0
645,242096.256789,8196273.079253,3330.0
646,242096.258484,8195989.88855,3404.0
647,242096.266724,8195970.251953,3420.0
648,242096.282977,8196274.742192,3329.269621
649,242096.283203,8196204.001953,3350.0
650,242096.291443,8196126.595215,3368.0
651,242096.299683,8195949.385498,3436.0
652,242096.316223,8195989.938599,3404.0
653,242096.316223,8196172.397339,3356.0
654,242096.324463,8195975.69104,3410.0
655,242096.324463,8196015.324219,3392.0
656,242096.328534,8196277.635087,3328.0
657,242096.340942,8195957.044189,3430.0
658,242096.340942,8195986.699097,3408.0
659,242096.340942,8196029.401855,3386.0
660,242096.348563,8196278.90693,3327.441361
661,242096.357422,8195988.348877,3406.0
662,242096.357422,8195991.388306,3402.0
663,242096.357422,8196015.374268,3392.0
664,242096.365662,8195974.851196,3412.0
665,242096.382141,8195989.998535,3404.0
666,242096.390442,8196004.33606,3396.0
667,242096.400156,8196282.18309,3326.0
668,242096.409443,8196282.772787,3325.741022
669,242096.436764,8196284.507726,3324.979486
670,242096.44812,8195991.55835,3402.0
671,242096.456474,8196285.759292,3324.383566
672,242096.46914,8196286.563573,3324.0
673,242096.4729,8195951.22522,3432.0
674,242096.48114,8195990.088501,3404.0
675,242096.48114,8196015.654175,3392.0
676,242096.505705,8196288.885452,3322.893771
677,242096.530579,8195971.501709,3418.0
678,242096.535217,8196290.759492,3322.0
679,242096.547119,8195990.14856,3404.0
680,242096.561242,8196292.412062,3321.210516
681,242096.563599,8195924.969727,3448.0
682,242096.580078,8195990.168579,3404.0
683,242096.580078,8196071.924561,3384.0
684,242096.588318,8195988.548828,3406.0
685,242096.601239,8196294.951844,3320.0
686,242096.604797,8196015.984131,3392.0
687,242096.621338,8196016.01416,3392.0
