hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,lith_code
QV-C02-010,DS00,quebrada_verde,CAMPAIGN_02,17.000000000,165.000000000,148.000000000,VOL
QV-C02-010,DS00,quebrada_verde,CAMPAIGN_02,165.000000000,386.630732406,221.630732406,POR
QV-C02-011,DS00,quebrada_verde,CAMPAIGN_02,0.000000000,9.000000000,9.000000000,OVB
QV-C02-011,DS00,quebrada_verde,CAMPAIGN_02,9.000000000,220.000000000,211.000000000,POR
QV-C02-012,DS00,quebrada_verde,CAMPAIGN_02,0.000000000,6.000000000,6.000000000,OVB
QV-C02-012,DS00,quebrada_verde,CAMPAIGN_02,6.000000000,220.000000000,214.000000000,POR
QV-C02-013,DS00,quebrada_verde,CAMPAIGN_02,0.000000000,10.000000000,10.000000000,OVB
QV-C02-013,DS00,quebrada_verde,CAMPAIGN_02,10.000000000,240.714891920,230.714891920,POR
QV-C02-014,DS00,quebrada_verde,CAMPAIGN_02,0.000000000,9.000000000,9.000000000,OVB
QV-C02-014,DS00,quebrada_verde,CAMPAIGN_02,9.000000000,26.000000000,17.000000000,VOL
QV-C02-014,DS00,quebrada_verde,CAMPAIGN_02,26.000000000,268.235308784,242.235308784,POR
QV-C02-015,DS00,quebrada_verde,CAMPAIGN_02,0.000000000,11.000000000,11.000000000,OVB
QV-C02-015,DS00,quebrada_verde,CAMPAIGN_02,11.000000000,114.000000000,103.000000000,VOL
QV-C02-015,DS00,quebrada_verde,CAMPAIGN_02,114.000000000,303.131606087,189.131606087,POR
QV-C02-016,DS00,quebrada_verde,CAMPAIGN_02,0.000000000,10.000000000,10.000000000,OVB
QV-C02-016,DS00,quebrada_verde,CAMPAIGN_02,10.000000000,62.000000000,52.000000000,VOL
QV-C02-016,DS00,quebrada_verde,CAMPAIGN_02,62.000000000,220.000000000,158.000000000,POR
QV-C02-017,DS00,quebrada_verde,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,OVB
QV-C02-017,DS00,quebrada_verde,CAMPAIGN_02,7.000000000,32.000000000,25.000000000,VOL
QV-C02-017,DS00,quebrada_verde,CAMPAIGN_02,32.000000000,220.000000000,188.000000000,POR
QV-C02-018,DS00,quebrada_verde,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,OVB
QV-C02-018,DS00,quebrada_verde,CAMPAIGN_02,7.000000000,33.000000000,26.000000000,VOL
QV-C02-018,DS00,quebrada_verde,CAMPAIGN_02,33.000000000,220.000000000,187.000000000,POR
QV-C02-019,DS00,quebrada_verde,CAMPAIGN_02,0.000000000,10.000000000,10.000000000,OVB
QV-C02-019,DS00,quebrada_verde,CAMPAIGN_02,10.000000000,78.000000000,68.000000000,VOL
QV-C02-019,DS00,quebrada_verde,CAMPAIGN_02,78.000000000,239.643692223,161.643692223,POR
QV-C02-020,DS00,quebrada_verde,CAMPAIGN_02,0.000000000,12.000000000,12.000000000,OVB
QV-C02-020,DS00,quebrada_verde,CAMPAIGN_02,12.000000000,180.000000000,168.000000000,VOL
QV-C02-020,DS00,quebrada_verde,CAMPAIGN_02,180.000000000,301.669803512,121.669803512,POR
QV-C03-001,DS00,quebrada_verde,CAMPAIGN_03,0.000000000,7.000000000,7.000000000,OVB
QV-C03-001,DS00,quebrada_verde,CAMPAIGN_03,7.000000000,237.028279780,230.028279780,POR
QV-C03-002,DS00,quebrada_verde,CAMPAIGN_03,0.000000000,9.000000000,9.000000000,OVB
QV-C03-002,DS00,quebrada_verde,CAMPAIGN_03,9.000000000,34.000000000,25.000000000,VOL
QV-C03-002,DS00,quebrada_verde,CAMPAIGN_03,34.000000000,326.261444212,292.261444212,POR
QV-C03-003,DS00,quebrada_verde,CAMPAIGN_03,0.000000000,9.000000000,9.000000000,OVB
QV-C03-003,DS00,quebrada_verde,CAMPAIGN_03,9.000000000,283.201595293,274.201595293,POR
QV-C03-004,DS00,quebrada_verde,CAMPAIGN_03,0.000000000,9.000000000,9.000000000,OVB
QV-C03-004,DS00,quebrada_verde,CAMPAIGN_03,9.000000000,243.725941940,234.725941940,POR
QV-C03-005,DS00,quebrada_verde,CAMPAIGN_03,0.000000000,9.000000000,9.000000000,OVB
QV-C03-005,DS00,quebrada_verde,CAMPAIGN_03,9.000000000,255.456646367,246.456646367,POR
QV-C03-006,DS00,quebrada_verde,CAMPAIGN_03,0.000000000,9.000000000,9.000000000,OVB
QV-C03-006,DS00,quebrada_verde,CAMPAIGN_03,9.000000000,268.177059753,259.177059753,POR
