density_sample_id,hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,density_t_m3
QV-C01-002-D0009,QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,209.290746501,210.290746501,1.000000000,2.730639339
QV-C01-002-D0010,QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,234.290746501,235.290746501,1.000000000,2.711982511
QV-C01-002-D0011,QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,259.290746501,260.290746501,1.000000000,2.740543067
QV-C01-002-D0012,QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,284.290746501,285.290746501,1.000000000,2.717623367
QV-C01-003-D0001,QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,0.395203966,1.395203966,1.000000000,2.172560648
QV-C01-003-D0002,QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,25.395203966,26.395203966,1.000000000,2.746440697
QV-C01-003-D0003,QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,50.395203966,51.395203966,1.000000000,2.729585852
QV-C01-003-D0004,QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,75.395203966,76.395203966,1.000000000,2.742384144
QV-C01-003-D0005,QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,100.395203966,101.395203966,1.000000000,2.708731680
QV-C01-003-D0006,QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,125.395203966,126.395203966,1.000000000,2.702113636
QV-C01-003-D0007,QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,150.395203966,151.395203966,1.000000000,2.728817230
QV-C01-003-D0008,QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,175.395203966,176.395203966,1.000000000,2.713977871
QV-C01-003-D0009,QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,200.395203966,201.395203966,1.000000000,2.696276252
QV-C01-003-D0010,QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,225.395203966,226.395203966,1.000000000,2.734303457
QV-C01-003-D0011,QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,250.395203966,251.395203966,1.000000000,2.755476007
QV-C01-003-D0012,QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,275.395203966,276.395203966,1.000000000,2.709574833
QV-C01-003-D0013,QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,300.395203966,301.395203966,1.000000000,2.714574072
QV-C01-003-D0014,QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,325.395203966,326.395203966,1.000000000,2.749098886
QV-C01-003-D0015,QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,350.395203966,351.395203966,1.000000000,2.702384074
QV-C01-004-D0001,QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,15.929984712,16.929984712,1.000000000,2.712691349
QV-C01-004-D0002,QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,40.929984712,41.929984712,1.000000000,2.688767151
QV-C01-004-D0003,QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,65.929984712,66.929984712,1.000000000,2.729419882
QV-C01-004-D0004,QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,90.929984712,91.929984712,1.000000000,2.739451306
QV-C01-004-D0005,QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,115.929984712,116.929984712,1.000000000,2.669406176
QV-C01-004-D0006,QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,140.929984712,141.929984712,1.000000000,2.721887630
QV-C01-004-D0007,QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,165.929984712,166.929984712,1.000000000,2.706815058
QV-C01-004-D0008,QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,190.929984712,191.929984712,1.000000000,2.716483692
QV-C01-004-D0009,QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,215.929984712,216.929984712,1.000000000,2.719350632
QV-C01-004-D0010,QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,240.929984712,241.929984712,1.000000000,2.745882446
QV-C01-004-D0011,QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,265.929984712,266.929984712,1.000000000,2.717931846
QV-C01-004-D0012,QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,290.929984712,291.929984712,1.000000000,2.739150537
QV-C01-004-D0013,QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,315.929984712,316.929984712,1.000000000,2.734794434
QV-C01-004-D0014,QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,340.929984712,341.929984712,1.000000000,2.740312416
QV-C01-004-D0015,QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,365.929984712,366.929984712,1.000000000,2.699555669
QV-C01-004-D0016,QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,390.929984712,391.929984712,1.000000000,2.707582854
QV-C01-004-D0017,QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,415.929984712,416.929984712,1.000000000,2.753171706
QV-C01-005-D0001,QV-C01-005,DS00,quebrada_verde,CAMPAIGN_01,21.121421962,22.121421962,1.000000000,2.736711618
QV-C01-005-D0002,QV-C01-005,DS00,quebrada_verde,CAMPAIGN_01,46.121421962,47.121421962,1.000000000,2.726486142
QV-C01-005-D0003,QV-C01-005,DS00,quebrada_verde,CAMPAIGN_01,71.121421962,72.121421962,1.000000000,2.705343487
QV-C01-005-D0004,QV-C01-005,DS00,quebrada_verde,CAMPAIGN_01,96.121421962,97.121421962,1.000000000,2.676499940
QV-C01-005-D0005,QV-C01-005,DS00,quebrada_verde,CAMPAIGN_01,121.121421962,122.121421962,1.000000000,2.699237123
QV-C01-005-D0006,QV-C01-005,DS00,quebrada_verde,CAMPAIGN_01,146.121421962,147.121421962,1.000000000,2.674123635
QV-C01-005-D0007,QV-C01-005,DS00,quebrada_verde,CAMPAIGN_01,171.121421962,172.121421962,1.000000000,2.663266471
QV-C01-005-D0008,QV-C01-005,DS00,quebrada_verde,CAMPAIGN_01,196.121421962,197.121421962,1.000000000,2.727605745
QV-C01-006-D0001,QV-C01-006,DS00,quebrada_verde,CAMPAIGN_01,18.695036516,19.695036516,1.000000000,2.686520550
QV-C01-006-D0002,QV-C01-006,DS00,quebrada_verde,CAMPAIGN_01,43.695036516,44.695036516,1.000000000,2.651311503
QV-C01-006-D0003,QV-C01-006,DS00,quebrada_verde,CAMPAIGN_01,68.695036516,69.695036516,1.000000000,2.663082445
QV-C01-006-D0004,QV-C01-006,DS00,quebrada_verde,CAMPAIGN_01,93.695036516,94.695036516,1.000000000,2.675111550
QV-C01-006-D0005,QV-C01-006,DS00,quebrada_verde,CAMPAIGN_01,118.695036516,119.695036516,1.000000000,2.642888241
QV-C01-006-D0006,QV-C01-006,DS00,quebrada_verde,CAMPAIGN_01,143.695036516,144.695036516,1.000000000,2.660384746
QV-C01-006-D0007,QV-C01-006,DS00,quebrada_verde,CAMPAIGN_01,168.695036516,169.695036516,1.000000000,2.628450879
QV-C01-006-D0008,QV-C01-006,DS00,quebrada_verde,CAMPAIGN_01,193.695036516,194.695036516,1.000000000,2.651407802
QV-C01-006-D0009,QV-C01-006,DS00,quebrada_verde,CAMPAIGN_01,218.695036516,219.695036516,1.000000000,2.653653148
QV-C01-006-D0010,QV-C01-006,DS00,quebrada_verde,CAMPAIGN_01,243.695036516,244.695036516,1.000000000,2.676848173
QV-C01-007-D0001,QV-C01-007,DS00,quebrada_verde,CAMPAIGN_01,18.764077864,19.764077864,1.000000000,2.687859409
QV-C01-007-D0002,QV-C01-007,DS00,quebrada_verde,CAMPAIGN_01,43.764077864,44.764077864,1.000000000,2.652986447
QV-C01-007-D0003,QV-C01-007,DS00,quebrada_verde,CAMPAIGN_01,68.764077864,69.764077864,1.000000000,2.644704854
QV-C01-007-D0004,QV-C01-007,DS00,quebrada_verde,CAMPAIGN_01,93.764077864,94.764077864,1.000000000,2.655943394
QV-C01-007-D0005,QV-C01-007,DS00,quebrada_verde,CAMPAIGN_01,118.764077864,119.764077864,1.000000000,2.645028090
QV-C01-007-D0006,QV-C01-007,DS00,quebrada_verde,CAMPAIGN_01,143.764077864,144.764077864,1.000000000,2.648344565
QV-C01-007-D0007,QV-C01-007,DS00,quebrada_verde,CAMPAIGN_01,168.764077864,169.764077864,1.000000000,2.686497684
QV-C01-007-D0008,QV-C01-007,DS00,quebrada_verde,CAMPAIGN_01,193.764077864,194.764077864,1.000000000,2.696638728
QV-C01-007-D0009,QV-C01-007,DS00,quebrada_verde,CAMPAIGN_01,218.764077864,219.764077864,1.000000000,2.648698207
QV-C01-007-D0010,QV-C01-007,DS00,quebrada_verde,CAMPAIGN_01,243.764077864,244.764077864,1.000000000,2.676588871
QV-C01-007-D0011,QV-C01-007,DS00,quebrada_verde,CAMPAIGN_01,268.764077864,269.764077864,1.000000000,2.654704199
QV-C01-007-D0012,QV-C01-007,DS00,quebrada_verde,CAMPAIGN_01,293.764077864,294.764077864,1.000000000,2.657865534
QV-C01-008-D0001,QV-C01-008,DS00,quebrada_verde,CAMPAIGN_01,17.962890869,18.962890869,1.000000000,2.717568235
QV-C01-008-D0002,QV-C01-008,DS00,quebrada_verde,CAMPAIGN_01,42.962890869,43.962890869,1.000000000,2.701479165
QV-C01-008-D0003,QV-C01-008,DS00,quebrada_verde,CAMPAIGN_01,67.962890869,68.962890869,1.000000000,2.714832187
QV-C01-008-D0004,QV-C01-008,DS00,quebrada_verde,CAMPAIGN_01,92.962890869,93.962890869,1.000000000,2.693112643
QV-C01-008-D0005,QV-C01-008,DS00,quebrada_verde,CAMPAIGN_01,117.962890869,118.962890869,1.000000000,2.708521547
QV-C01-008-D0006,QV-C01-008,DS00,quebrada_verde,CAMPAIGN_01,142.962890869,143.962890869,1.000000000,2.704955862
QV-C01-008-D0007,QV-C01-008,DS00,quebrada_verde,CAMPAIGN_01,167.962890869,168.962890869,1.000000000,2.705112138
QV-C01-008-D0008,QV-C01-008,DS00,quebrada_verde,CAMPAIGN_01,192.962890869,193.962890869,1.000000000,2.711842339
QV-C01-008-D0009,QV-C01-008,DS00,quebrada_verde,CAMPAIGN_01,217.962890869,218.962890869,1.000000000,2.707846143
QV-C01-008-D0010,QV-C01-008,DS00,quebrada_verde,CAMPAIGN_01,242.962890869,243.962890869,1.000000000,2.700354829
QV-C01-008-D0011,QV-C01-008,DS00,quebrada_verde,CAMPAIGN_01,267.962890869,268.962890869,1.000000000,2.758043408
QV-C01-008-D0012,QV-C01-008,DS00,quebrada_verde,CAMPAIGN_01,292.962890869,293.962890869,1.000000000,2.737477519
QV-C01-008-D0013,QV-C01-008,DS00,quebrada_verde,CAMPAIGN_01,317.962890869,318.962890869,1.000000000,2.690383939
QV-C01-008-D0014,QV-C01-008,DS00,quebrada_verde,CAMPAIGN_01,342.962890869,343.962890869,1.000000000,2.656572445
QV-C01-008-D0015,QV-C01-008,DS00,quebrada_verde,CAMPAIGN_01,367.962890869,368.962890869,1.000000000,2.671458946
QV-C01-008-D0016,QV-C01-008,DS00,quebrada_verde,CAMPAIGN_01,392.962890869,393.962890869,1.000000000,2.663336125
QV-C01-008-D0017,QV-C01-008,DS00,quebrada_verde,CAMPAIGN_01,417.962890869,418.962890869,1.000000000,2.646226780
QV-C01-009-D0001,QV-C01-009,DS00,quebrada_verde,CAMPAIGN_01,23.892112911,24.892112911,1.000000000,2.740838124
QV-C01-009-D0002,QV-C01-009,DS00,quebrada_verde,CAMPAIGN_01,48.892112911,49.892112911,1.000000000,2.703997467
QV-C01-009-D0003,QV-C01-009,DS00,quebrada_verde,CAMPAIGN_01,73.892112911,74.892112911,1.000000000,2.698068230
QV-C01-009-D0004,QV-C01-009,DS00,quebrada_verde,CAMPAIGN_01,98.892112911,99.892112911,1.000000000,2.733027995
QV-C01-009-D0005,QV-C01-009,DS00,quebrada_verde,CAMPAIGN_01,123.892112911,124.892112911,1.000000000,2.746687135
QV-C01-009-D0006,QV-C01-009,DS00,quebrada_verde,CAMPAIGN_01,148.892112911,149.892112911,1.000000000,2.710223327
QV-C01-009-D0007,QV-C01-009,DS00,quebrada_verde,CAMPAIGN_01,173.892112911,174.892112911,1.000000000,2.710720483
QV-C01-009-D0008,QV-C01-009,DS00,quebrada_verde,CAMPAIGN_01,198.892112911,199.892112911,1.000000000,2.694256787
QV-C01-010-D0001,QV-C01-010,DS00,quebrada_verde,CAMPAIGN_01,3.258172546,4.258172546,1.000000000,2.171962871
QV-C01-010-D0002,QV-C01-010,DS00,quebrada_verde,CAMPAIGN_01,28.258172546,29.258172546,1.000000000,2.642868445
QV-C01-010-D0003,QV-C01-010,DS00,quebrada_verde,CAMPAIGN_01,53.258172546,54.258172546,1.000000000,2.673006769
QV-C01-010-D0004,QV-C01-010,DS00,quebrada_verde,CAMPAIGN_01,78.258172546,79.258172546,1.000000000,2.607040332
QV-C01-010-D0005,QV-C01-010,DS00,quebrada_verde,CAMPAIGN_01,103.258172546,104.258172546,1.000000000,2.655316602
QV-C01-010-D0006,QV-C01-010,DS00,quebrada_verde,CAMPAIGN_01,128.258172546,129.258172546,1.000000000,2.628469954
QV-C01-010-D0007,QV-C01-010,DS00,quebrada_verde,CAMPAIGN_01,153.258172546,154.258172546,1.000000000,2.645321987
QV-C01-010-D0008,QV-C01-010,DS00,quebrada_verde,CAMPAIGN_01,178.258172546,179.258172546,1.000000000,2.669178731
QV-C01-010-D0009,QV-C01-010,DS00,quebrada_verde,CAMPAIGN_01,203.258172546,204.258172546,1.000000000,2.620558605
QV-C01-011-D0001,QV-C01-011,DS00,quebrada_verde,CAMPAIGN_01,22.762349202,23.762349202,1.000000000,2.662528181
QV-C01-011-D0002,QV-C01-011,DS00,quebrada_verde,CAMPAIGN_01,47.762349202,48.762349202,1.000000000,2.656914615
QV-C01-011-D0003,QV-C01-011,DS00,quebrada_verde,CAMPAIGN_01,72.762349202,73.762349202,1.000000000,2.601961230
QV-C01-011-D0004,QV-C01-011,DS00,quebrada_verde,CAMPAIGN_01,97.762349202,98.762349202,1.000000000,2.651954269
QV-C01-011-D0005,QV-C01-011,DS00,quebrada_verde,CAMPAIGN_01,122.762349202,123.762349202,1.000000000,2.657780348
QV-C01-011-D0006,QV-C01-011,DS00,quebrada_verde,CAMPAIGN_01,147.762349202,148.762349202,1.000000000,2.637222623
QV-C01-011-D0007,QV-C01-011,DS00,quebrada_verde,CAMPAIGN_01,172.762349202,173.762349202,1.000000000,2.660338890
QV-C01-011-D0008,QV-C01-011,DS00,quebrada_verde,CAMPAIGN_01,197.762349202,198.762349202,1.000000000,2.646272948
QV-C01-011-D0009,QV-C01-011,DS00,quebrada_verde,CAMPAIGN_01,222.762349202,223.762349202,1.000000000,2.649389774
QV-C01-011-D0010,QV-C01-011,DS00,quebrada_verde,CAMPAIGN_01,247.762349202,248.762349202,1.000000000,2.675473261
QV-C01-012-D0001,QV-C01-012,DS00,quebrada_verde,CAMPAIGN_01,14.902083436,15.902083436,1.000000000,2.705513974
QV-C01-012-D0002,QV-C01-012,DS00,quebrada_verde,CAMPAIGN_01,39.902083436,40.902083436,1.000000000,2.730738516
QV-C01-012-D0003,QV-C01-012,DS00,quebrada_verde,CAMPAIGN_01,64.902083436,65.902083436,1.000000000,2.705092395
QV-C01-012-D0004,QV-C01-012,DS00,quebrada_verde,CAMPAIGN_01,89.902083436,90.902083436,1.000000000,2.743912075
QV-C01-012-D0005,QV-C01-012,DS00,quebrada_verde,CAMPAIGN_01,114.902083436,115.902083436,1.000000000,2.679820635
QV-C01-012-D0006,QV-C01-012,DS00,quebrada_verde,CAMPAIGN_01,139.902083436,140.902083436,1.000000000,2.738314265
QV-C01-012-D0007,QV-C01-012,DS00,quebrada_verde,CAMPAIGN_01,164.902083436,165.902083436,1.000000000,2.726456354
QV-C01-012-D0008,QV-C01-012,DS00,quebrada_verde,CAMPAIGN_01,189.902083436,190.902083436,1.000000000,2.717260195
QV-C01-012-D0009,QV-C01-012,DS00,quebrada_verde,CAMPAIGN_01,214.902083436,215.902083436,1.000000000,2.707966742
QV-C01-012-D0010,QV-C01-012,DS00,quebrada_verde,CAMPAIGN_01,239.902083436,240.902083436,1.000000000,2.684691108
QV-C01-012-D0011,QV-C01-012,DS00,quebrada_verde,CAMPAIGN_01,264.902083436,265.902083436,1.000000000,2.730434316
QV-C01-012-D0012,QV-C01-012,DS00,quebrada_verde,CAMPAIGN_01,289.902083436,290.902083436,1.000000000,2.691571064
QV-C01-013-D0001,QV-C01-013,DS00,quebrada_verde,CAMPAIGN_01,12.006537861,13.006537861,1.000000000,2.718656366
QV-C01-013-D0002,QV-C01-013,DS00,quebrada_verde,CAMPAIGN_01,37.006537861,38.006537861,1.000000000,2.721844212
QV-C01-013-D0003,QV-C01-013,DS00,quebrada_verde,CAMPAIGN_01,62.006537861,63.006537861,1.000000000,2.699988018
QV-C01-013-D0004,QV-C01-013,DS00,quebrada_verde,CAMPAIGN_01,87.006537861,88.006537861,1.000000000,2.741672206
QV-C01-013-D0005,QV-C01-013,DS00,quebrada_verde,CAMPAIGN_01,112.006537861,113.006537861,1.000000000,2.692380068
QV-C01-013-D0006,QV-C01-013,DS00,quebrada_verde,CAMPAIGN_01,137.006537861,138.006537861,1.000000000,2.717059258
QV-C01-013-D0007,QV-C01-013,DS00,quebrada_verde,CAMPAIGN_01,162.006537861,163.006537861,1.000000000,2.703041775
QV-C01-013-D0008,QV-C01-013,DS00,quebrada_verde,CAMPAIGN_01,187.006537861,188.006537861,1.000000000,2.719032368
QV-C01-013-D0009,QV-C01-013,DS00,quebrada_verde,CAMPAIGN_01,212.006537861,213.006537861,1.000000000,2.675756328
QV-C01-014-D0001,QV-C01-014,DS00,quebrada_verde,CAMPAIGN_01,5.579119359,6.579119359,1.000000000,2.181988270
QV-C01-014-D0002,QV-C01-014,DS00,quebrada_verde,CAMPAIGN_01,30.579119359,31.579119359,1.000000000,2.714831505
QV-C01-014-D0003,QV-C01-014,DS00,quebrada_verde,CAMPAIGN_01,55.579119359,56.579119359,1.000000000,2.735614556
QV-C01-014-D0004,QV-C01-014,DS00,quebrada_verde,CAMPAIGN_01,80.579119359,81.579119359,1.000000000,2.716171642
QV-C01-014-D0005,QV-C01-014,DS00,quebrada_verde,CAMPAIGN_01,105.579119359,106.579119359,1.000000000,2.731167159
QV-C01-014-D0006,QV-C01-014,DS00,quebrada_verde,CAMPAIGN_01,130.579119359,131.579119359,1.000000000,2.750548326
QV-C01-014-D0007,QV-C01-014,DS00,quebrada_verde,CAMPAIGN_01,155.579119359,156.579119359,1.000000000,2.704743088
QV-C01-014-D0008,QV-C01-014,DS00,quebrada_verde,CAMPAIGN_01,180.579119359,181.579119359,1.000000000,2.702198511
QV-C01-014-D0009,QV-C01-014,DS00,quebrada_verde,CAMPAIGN_01,205.579119359,206.579119359,1.000000000,2.692820581
QV-C01-015-D0001,QV-C01-015,DS00,quebrada_verde,CAMPAIGN_01,22.628918917,23.628918917,1.000000000,2.727572265
QV-C01-015-D0002,QV-C01-015,DS00,quebrada_verde,CAMPAIGN_01,47.628918917,48.628918917,1.000000000,2.731795654
QV-C01-015-D0003,QV-C01-015,DS00,quebrada_verde,CAMPAIGN_01,72.628918917,73.628918917,1.000000000,2.744166892
QV-C01-015-D0004,QV-C01-015,DS00,quebrada_verde,CAMPAIGN_01,97.628918917,98.628918917,1.000000000,2.726520013
QV-C01-015-D0005,QV-C01-015,DS00,quebrada_verde,CAMPAIGN_01,122.628918917,123.628918917,1.000000000,2.709885072
QV-C01-015-D0006,QV-C01-015,DS00,quebrada_verde,CAMPAIGN_01,147.628918917,148.628918917,1.000000000,2.742284790
QV-C01-015-D0007,QV-C01-015,DS00,quebrada_verde,CAMPAIGN_01,172.628918917,173.628918917,1.000000000,2.755863096
QV-C01-015-D0008,QV-C01-015,DS00,quebrada_verde,CAMPAIGN_01,197.628918917,198.628918917,1.000000000,2.729647368
QV-C01-016-D0001,QV-C01-016,DS00,quebrada_verde,CAMPAIGN_01,16.538624043,17.538624043,1.000000000,2.726841999
QV-C01-016-D0002,QV-C01-016,DS00,quebrada_verde,CAMPAIGN_01,41.538624043,42.538624043,1.000000000,2.775242949
QV-C01-016-D0003,QV-C01-016,DS00,quebrada_verde,CAMPAIGN_01,66.538624043,67.538624043,1.000000000,2.740246766
QV-C01-016-D0004,QV-C01-016,DS00,quebrada_verde,CAMPAIGN_01,91.538624043,92.538624043,1.000000000,2.718258014
QV-C01-016-D0005,QV-C01-016,DS00,quebrada_verde,CAMPAIGN_01,116.538624043,117.538624043,1.000000000,2.732791064
QV-C01-016-D0006,QV-C01-016,DS00,quebrada_verde,CAMPAIGN_01,141.538624043,142.538624043,1.000000000,2.755021983
QV-C01-016-D0007,QV-C01-016,DS00,quebrada_verde,CAMPAIGN_01,166.538624043,167.538624043,1.000000000,2.721905667
QV-C01-016-D0008,QV-C01-016,DS00,quebrada_verde,CAMPAIGN_01,191.538624043,192.538624043,1.000000000,2.674551859
QV-C01-016-D0009,QV-C01-016,DS00,quebrada_verde,CAMPAIGN_01,216.538624043,217.538624043,1.000000000,2.695976426
QV-C01-016-D0010,QV-C01-016,DS00,quebrada_verde,CAMPAIGN_01,241.538624043,242.538624043,1.000000000,2.758479959
QV-C01-016-D0011,QV-C01-016,DS00,quebrada_verde,CAMPAIGN_01,266.538624043,267.538624043,1.000000000,2.694572063
QV-C02-001-D0001,QV-C02-001,DS00,quebrada_verde,CAMPAIGN_02,21.400423581,22.400423581,1.000000000,2.659630853
QV-C02-001-D0002,QV-C02-001,DS00,quebrada_verde,CAMPAIGN_02,46.400423581,47.400423581,1.000000000,2.648665987
QV-C02-001-D0003,QV-C02-001,DS00,quebrada_verde,CAMPAIGN_02,71.400423581,72.400423581,1.000000000,2.642073184
QV-C02-001-D0004,QV-C02-001,DS00,quebrada_verde,CAMPAIGN_02,96.400423581,97.400423581,1.000000000,2.663268452
QV-C02-001-D0005,QV-C02-001,DS00,quebrada_verde,CAMPAIGN_02,121.400423581,122.400423581,1.000000000,2.620849602
QV-C02-001-D0006,QV-C02-001,DS00,quebrada_verde,CAMPAIGN_02,146.400423581,147.400423581,1.000000000,2.634408842
QV-C02-001-D0007,QV-C02-001,DS00,quebrada_verde,CAMPAIGN_02,171.400423581,172.400423581,1.000000000,2.644685239
QV-C02-001-D0008,QV-C02-001,DS00,quebrada_verde,CAMPAIGN_02,196.400423581,197.400423581,1.000000000,2.643304393
QV-C02-001-D0009,QV-C02-001,DS00,quebrada_verde,CAMPAIGN_02,221.400423581,222.400423581,1.000000000,2.666496605
QV-C02-001-D0010,QV-C02-001,DS00,quebrada_verde,CAMPAIGN_02,246.400423581,247.400423581,1.000000000,2.644043798
QV-C02-002-D0001,QV-C02-002,DS00,quebrada_verde,CAMPAIGN_02,20.087536361,21.087536361,1.000000000,2.656871686
QV-C02-002-D0002,QV-C02-002,DS00,quebrada_verde,CAMPAIGN_02,45.087536361,46.087536361,1.000000000,2.705284135
QV-C02-002-D0003,QV-C02-002,DS00,quebrada_verde,CAMPAIGN_02,70.087536361,71.087536361,1.000000000,2.630520124
QV-C02-002-D0004,QV-C02-002,DS00,quebrada_verde,CAMPAIGN_02,95.087536361,96.087536361,1.000000000,2.655500793
QV-C02-002-D0005,QV-C02-002,DS00,quebrada_verde,CAMPAIGN_02,120.087536361,121.087536361,1.000000000,2.648495337
QV-C02-002-D0006,QV-C02-002,DS00,quebrada_verde,CAMPAIGN_02,145.087536361,146.087536361,1.000000000,2.664604580
QV-C02-002-D0007,QV-C02-002,DS00,quebrada_verde,CAMPAIGN_02,170.087536361,171.087536361,1.000000000,2.667101643
QV-C02-002-D0008,QV-C02-002,DS00,quebrada_verde,CAMPAIGN_02,195.087536361,196.087536361,1.000000000,2.660628403
QV-C02-002-D0009,QV-C02-002,DS00,quebrada_verde,CAMPAIGN_02,220.087536361,221.087536361,1.000000000,2.655834029
QV-C02-002-D0010,QV-C02-002,DS00,quebrada_verde,CAMPAIGN_02,245.087536361,246.087536361,1.000000000,2.697857277
QV-C02-003-D0001,QV-C02-003,DS00,quebrada_verde,CAMPAIGN_02,5.242468442,6.242468442,1.000000000,2.212786502
QV-C02-003-D0002,QV-C02-003,DS00,quebrada_verde,CAMPAIGN_02,30.242468442,31.242468442,1.000000000,2.642535929
QV-C02-003-D0003,QV-C02-003,DS00,quebrada_verde,CAMPAIGN_02,55.242468442,56.242468442,1.000000000,2.662192325
QV-C02-003-D0004,QV-C02-003,DS00,quebrada_verde,CAMPAIGN_02,80.242468442,81.242468442,1.000000000,2.661917685
QV-C02-003-D0005,QV-C02-003,DS00,quebrada_verde,CAMPAIGN_02,105.242468442,106.242468442,1.000000000,2.657266452
QV-C02-003-D0006,QV-C02-003,DS00,quebrada_verde,CAMPAIGN_02,130.242468442,131.242468442,1.000000000,2.646036345
QV-C02-003-D0007,QV-C02-003,DS00,quebrada_verde,CAMPAIGN_02,155.242468442,156.242468442,1.000000000,2.622682986
QV-C02-003-D0008,QV-C02-003,DS00,quebrada_verde,CAMPAIGN_02,180.242468442,181.242468442,1.000000000,2.655200315
QV-C02-003-D0009,QV-C02-003,DS00,quebrada_verde,CAMPAIGN_02,205.242468442,206.242468442,1.000000000,2.615428641
QV-C02-003-D0010,QV-C02-003,DS00,quebrada_verde,CAMPAIGN_02,230.242468442,231.242468442,1.000000000,2.667567147
